"user";"revenue";"units";"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad";"dia"
3567;"NULL";"NULL";"90252";-1;548;3;"0.155555555556";"0.155555555556";"0.25";"4.0";"ipod";"46193.0";182922;146
6562;"NULL";"NULL";"162217";-1;656;3;"0.222222222222";"0.266666666667";"0.333333333333";"6.0";"iphone";"44790.0";162896;146
7004;"NULL";"NULL";"170643";0;1340;4;"0.177777777778";"0.177777777778";"0.272727272727";"11.0";"iphone";"861.333333333";173408;146
1450;"NULL";"NULL";"3524";0;4170;2;"0.333333333333";"0.666666666667";"1.0";"7.0";"ipad";"34807.0";39989;147
5592;"NULL";"NULL";"35612";0;2563;4;"0.444444444444";"0.444444444444";"0.45";"20.0";"iphone";"57243.0";207761;147
293;"NULL";"NULL";"2418";1;1684;5;"0.222222222222";"0.222222222222";"0.8";"5.0";"ipad";"8504.75";36441;147
7545;"NULL";"NULL";"NULL";0;0;1;"0.222222222222";"0.222222222222";"0.75";"4.0";"iphone";"NULL";81007;NA
7884;"NULL";"NULL";"NULL";0;0;1;"0.222222222222";"0.222222222222";"0.5";"6.0";"ipad";"NULL";153839;NA
2927;"NULL";"NULL";"114643";0;449;2;"0.222222222222";"0.222222222222";"1.0";"4.0";"ipad";"70361.0";115093;146
5153;"NULL";"NULL";"7548";0;3664;6;"0.4";"0.4";"0.441176470588";"34.0";"iphone";"21461.8";115428;147
461;"NULL";"NULL";"24276";0;10438;5;"0.666666666667";"0.933333333333";"0.526315789474";"38.0";"ipad";"11846.75";72606;147
7390;"NULL";"NULL";"15678";0;12974;15;"0.666666666667";"0.666666666667";"0.385714285714";"70.0";"iphone";"5989.14285714";100239;147
8044;"NULL";"NULL";"25496";-1;82;3;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"29404.0";84198;147
5559;"NULL";"NULL";"80377";0;313;2;"0.155555555556";"0.155555555556";"0.5";"4.0";"ipod";"7740.0";88253;147
8465;"NULL";"NULL";"105717";0;357;1;"0.177777777778";"0.222222222222";"0.5";"4.0";"ipad";"NULL";106075;146
6187;"NULL";"NULL";"140030";-1;65;3;"0.133333333333";"0.133333333333";"NULL";"NULL";"ipad";"60.0";140127;146
420;"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"NULL";"NULL";"iphone";"NULL";15434;NA
225;"NULL";"NULL";"97434";-1;186;1;"0.155555555556";"0.222222222222";"1.0";"2.0";"iphone";"NULL";97621;146
470;"NULL";"NULL";"168498";0;2502;4;"0.444444444444";"0.444444444444";"0.65";"20.0";"iphone";"3316.0";178842;146
3639;"NULL";"NULL";"128048";0;504;2;"0.177777777778";"0.177777777778";"0.285714285714";"7.0";"iphone";"8362.0";128553;146
7614;"NULL";"NULL";"185437";0;3146;4;"0.444444444444";"0.444444444444";"0.75";"12.0";"ipod";"23961.3333333";245571;145
7172;"NULL";"NULL";"29134";-1;783;4;"0.177777777778";"0.222222222222";"0.4";"10.0";"ipad";"3739.0";40429;147
