"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad";"dia"
"90252";-1;548;3;"0.155555555556";0,155555555556;"0.25";"4.0";"ipod";"46193.0";182922;146
"162217";-1;656;3;"0.222222222222";0,266666666667;"0.333333333333";"6.0";"iphone";"44790.0";162896;146
"170643";0;1340;4;"0.177777777778";0,177777777778;"0.272727272727";"11.0";"iphone";"861.333333333";173408;146
"3524";0;4170;2;"0.333333333333";0,666666666667;"1.0";"7.0";"ipad";"34807.0";39989;147
"35612";0;2563;4;"0.444444444444";0,444444444444;"0.45";"20.0";"iphone";"57243.0";207761;147
"2418";1;1684;5;"0.222222222222";0,222222222222;"0.8";"5.0";"ipad";"8504.75";36441;147
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.75";"4.0";"iphone";"NULL";81007;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.5";"6.0";"ipad";"NULL";153839;NA
"114643";0;449;2;"0.222222222222";0,222222222222;"1.0";"4.0";"ipad";"70361.0";115093;146
"7548";0;3664;6;"0.4";0,4;"0.441176470588";"34.0";"iphone";"21461.8";115428;147
"24276";0;10438;5;"0.666666666667";0,933333333333;"0.526315789474";"38.0";"ipad";"11846.75";72606;147
"15678";0;12974;15;"0.666666666667";0,666666666667;"0.385714285714";"70.0";"iphone";"5989.14285714";100239;147
"25496";-1;82;3;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"29404.0";84198;147
"80377";0;313;2;"0.155555555556";0,155555555556;"0.5";"4.0";"ipod";"7740.0";88253;147
"105717";0;357;1;"0.177777777778";0,222222222222;"0.5";"4.0";"ipad";"NULL";106075;146
"140030";-1;65;3;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"60.0";140127;146
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"NULL";15434;NA
"97434";-1;186;1;"0.155555555556";0,222222222222;"1.0";"2.0";"iphone";"NULL";97621;146
"168498";0;2502;4;"0.444444444444";0,444444444444;"0.65";"20.0";"iphone";"3316.0";178842;146
"128048";0;504;2;"0.177777777778";0,177777777778;"0.285714285714";"7.0";"iphone";"8362.0";128553;146
"185437";0;3146;4;"0.444444444444";0,444444444444;"0.75";"12.0";"ipod";"23961.3333333";245571;145
"29134";-1;783;4;"0.177777777778";0,222222222222;"0.4";"10.0";"ipad";"3739.0";40429;147
"116153";1;1403;3;"0.222222222222";0,222222222222;"0.6";"5.0";"iphone";"30264.0";177626;146
"NULL";1;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"iphone";"NULL";125484;NA
"NULL";0;0;1;"0.4";0,4;"0.8";"15.0";"ipad";"NULL";101717;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.5";"6.0";"iphone";"NULL";164651;NA
"63600";0;430;2;"0.222222222222";0,222222222222;"1.0";"2.0";"iphone";"28549.0";92273;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"NULL";150822;NA
"NULL";0;0;1;"0.288888888889";0,288888888889;"0.875";"8.0";"iphone";"NULL";96326;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"ipod";"NULL";72958;NA
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.5";"2.0";"ipad";"NULL";160691;NA
"108203";0;5388;7;"0.4";0,4;"0.568181818182";"44.0";"iphone";"13222.3333333";187509;146
"180436";0;295;2;"0.155555555556";0,155555555556;"1.0";"2.0";"iphone";"301.0";180732;145
"118931";0;4237;11;"0.177777777778";0,177777777778;"0.163265306122";"49.0";"iphone";"10484.4";214642;146
"252754";-1;307;3;"0.155555555556";0,155555555556;"0.666666666667";"3.0";"iphone";"149.0";253178;145
"33280";-1;2185;7;"0.133333333333";0,177777777778;"0.1875";"32.0";"ipad";"28827.3333333";206445;147
"NULL";0;0;1;"0.177777777778";0,177777777778;"0.75";"4.0";"ipad";"NULL";163732;NA
"NULL";0;0;1;"0.177777777778";0,177777777778;"0.2";"10.0";"ipad";"NULL";134820;NA
"183499";0;2404;1;"0.4";0,4;"0.6875";"16.0";"ipad";"NULL";185904;145
"174261";0;800;1;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"NULL";175062;145
"39938";0;14540;8;"0.555555555556";0,555555555556;"0.338235294118";"68.0";"ipad";"12382.2857143";126586;147
"13612";-1;81;2;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"6676.0";20367;147
"35967";-1;198;2;"0.133333333333";0,155555555556;"0.5";"2.0";"ipod";"200.0";36301;147
"204172";0;6281;9;"0.555555555556";0,555555555556;"0.59375";"32.0";"iphone";"2860.375";226193;145
"27937";0;1430;1;"0.444444444444";0,511111111111;"0.714285714286";"14.0";"ipad";"NULL";29368;147
"NULL";0;0;1;"0.2";0,2;"1.0";"4.0";"iphone";"NULL";185042;NA
"22790";0;2745;5;"0.333333333333";0,333333333333;"0.5625";"16.0";"ipad";"40385.25";184381;147
"8252";0;3969;6;"0.333333333333";0,422222222222;"0.533333333333";"15.0";"ipad";"42085.4";218806;147
"34438";0;3918;10;"0.444444444444";0,444444444444;"0.41935483871";"31.0";"ipad";"11793.6666667";140586;147
"8379";0;554;2;"0.2";0,311111111111;"0.833333333333";"6.0";"ipod";"2781.0";11581;147
"129476";0;1453;5;"0.355555555556";0,355555555556;"0.666666666667";"12.0";"iphone";"12553.75";179738;146
"25449";0;214;2;"0.177777777778";0,177777777778;"0.4";"5.0";"iphone";"77.0";25728;147
"15829";0;7850;12;"0.666666666667";0,688888888889;"0.827586206897";"29.0";"iphone";"15924.8181818";192896;147
"NULL";-1;0;1;"0.155555555556";0,155555555556;"1.0";"2.0";"iphone";"NULL";10985;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.75";"4.0";"iphone";"NULL";165423;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"NULL";83417;NA
"76140";0;2108;6;"0.222222222222";0,222222222222;"1.0";"3.0";"iphone";"7529.6";113957;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"ipad";"NULL";103772;NA
"NULL";0;0;1;"0.177777777778";0,177777777778;"0.5";"4.0";"iphone";"NULL";169613;NA
"38977";0;5539;6;"0.444444444444";0,444444444444;"0.394736842105";"38.0";"iphone";"17426.6";126064;147
"95603";1;7873;10;"0.444444444444";0,444444444444;"0.6875";"16.0";"iphone";"13964.3333333";222365;146
"18372";0;3295;3;"0.288888888889";0,288888888889;"0.342857142857";"35.0";"ipod";"52323.0";124364;147
"NULL";0;0;1;"0.266666666667";0,266666666667;"1.0";"5.0";"ipad";"NULL";202772;NA
"7228";0;4094;10;"0.4";0,822222222222;"0.611111111111";"18.0";"iphone";"2718.66666667";31893;147
"109710";1;1233;4;"0.266666666667";0,266666666667;"0.384615384615";"13.0";"ipod";"31759.6666667";204992;146
"179528";0;472;2;"0.222222222222";0,222222222222;"0.428571428571";"7.0";"iphone";"574.0";180142;145
"25024";0;7962;22;"0.4";0,4;"0.365384615385";"52.0";"iphone";"8361.95238095";200787;147
"NULL";-1;0;1;"0.155555555556";0,155555555556;"0.5";"2.0";"ipad";"NULL";187923;NA
"NULL";-1;0;1;"0.133333333333";0,133333333333;"NULL";"NULL";"iphone";"NULL";113263;NA
"23919";-1;1301;4;"0.177777777778";0,177777777778;"0.0833333333333";"12.0";"iphone";"27332.0";106162;147
"91659";0;2928;4;"0.555555555556";0,555555555556;"0.882352941176";"17.0";"ipad";"83039.3333333";255203;146
"75656";0;11955;7;"0.222222222222";0,222222222222;"0.6";"5.0";"ipad";"16564.5";178672;147
"NULL";-1;0;1;"0.133333333333";0,133333333333;"1.0";"1.0";"iphone";"NULL";4533;NA
"NULL";0;0;1;"0.222222222222";0,222222222222;"0.3";"20.0";"ipad";"NULL";227362;NA
"84658";0;3485;3;"0.333333333333";0,333333333333;"0.722222222222";"18.0";"ipad";"3145.5";92548;147
"137131";0;329;2;"0.288888888889";0,288888888889;"0.75";"12.0";"ipad";"20246.0";157707;146
"165629";-1;9;3;"0.133333333333";0,133333333333;"NULL";"NULL";"ipad";"29014.0";170622;146
"NULL";-1;0;1;"0.133333333333";0,133333333333;"0.5";"2.0";"iphone";"NULL";217750;NA
