"user";"revenue";"units";"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad";"dia"
6233;"NULL";"NULL";"NULL";0;0;1;"0.222222222222";"0.222222222222";"1.0";"3.0";"ipad";"NULL";81136;NA
711;"NULL";"NULL";"133739";0;775;2;"0.222222222222";"0.222222222222";"0.75";"4.0";"iphone";"41.0";134553;146
6398;"NULL";"NULL";"92533";0;2731;2;"0.222222222222";"0.444444444444";"0.444444444444";"9.0";"ipad";"181.0";94037;146
7535;"NULL";"NULL";"NULL";0;0;2;"0.2";"0.2";"0.75";"4.0";"iphone";"220.0";59322;NA
343;"NULL";"NULL";"6647";0;589;2;"0.266666666667";"0.666666666667";"0.625";"8.0";"iphone";"6731.0";7237;147
6598;"NULL";"NULL";"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";179598;NA
2212;"NULL";"NULL";"84756";0;322;1;"0.177777777778";"0.177777777778";"1.0";"3.0";"iphone";"NULL";85079;147
7067;"NULL";"NULL";"124196";-1;5;2;"0.155555555556";"0.155555555556";"0.333333333333";"3.0";"iphone";"265.0";124202;146
4759;"NULL";"NULL";"NULL";0;0;1;"0.266666666667";"0.266666666667";"0.833333333333";"6.0";"iphone";"NULL";253368;NA
8572;"NULL";"NULL";"10215";0;1206;2;"0.222222222222";"0.222222222222";"0.75";"4.0";"ipod";"343.0";11474;147
574;"NULL";"NULL";"24854";0;12399;20;"0.666666666667";"0.666666666667";"0.367088607595";"79.0";"iphone";"10310.5789474";220755;147
8528;"NULL";"NULL";"14873";0;1438;7;"0.222222222222";"0.333333333333";"0.333333333333";"6.0";"ipad";"30359.0";197581;147
1612;"NULL";"NULL";"168673";0;804;3;"0.222222222222";"0.222222222222";"0.6";"5.0";"iphone";"38450.0";245702;146
8216;"NULL";"NULL";"3031";0;3589;12;"0.333333333333";"0.333333333333";"0.444444444444";"27.0";"iphone";"3344.36363636";40025;147
