"tsls";"rating";"ttp";"total.sessions";"completed";"completed.post";"win.rate";"tries";"device";"tbs";"tsad";"dia"
"NULL";0;0;1;"0.222222222222";"0.222222222222";"1.0";"3.0";"ipad";"NULL";81136;NA
"133739";0;775;2;"0.222222222222";"0.222222222222";"0.75";"4.0";"iphone";"41.0";134553;146
"92533";0;2731;2;"0.222222222222";"0.444444444444";"0.444444444444";"9.0";"ipad";"181.0";94037;146
"NULL";0;0;2;"0.2";"0.2";"0.75";"4.0";"iphone";"220.0";59322;NA
"6647";0;589;2;"0.266666666667";"0.666666666667";"0.625";"8.0";"iphone";"6731.0";7237;147
"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"iphone";"NULL";179598;NA
"84756";0;322;1;"0.177777777778";"0.177777777778";"1.0";"3.0";"iphone";"NULL";85079;147
"124196";-1;5;2;"0.155555555556";"0.155555555556";"0.333333333333";"3.0";"iphone";"265.0";124202;146
"NULL";0;0;1;"0.266666666667";"0.266666666667";"0.833333333333";"6.0";"iphone";"NULL";253368;NA
"10215";0;1206;2;"0.222222222222";"0.222222222222";"0.75";"4.0";"ipod";"343.0";11474;147
"24854";0;12399;20;"0.666666666667";"0.666666666667";"0.367088607595";"79.0";"iphone";"10310.5789474";220755;147
"14873";0;1438;7;"0.222222222222";"0.333333333333";"0.333333333333";"6.0";"ipad";"30359.0";197581;147
"168673";0;804;3;"0.222222222222";"0.222222222222";"0.6";"5.0";"iphone";"38450.0";245702;146
"3031";0;3589;12;"0.333333333333";"0.333333333333";"0.444444444444";"27.0";"iphone";"3344.36363636";40025;147
"25373";0;40;3;"0.222222222222";"0.222222222222";"0.6";"5.0";"iphone";"100.0";25470;147
"139495";-1;113;1;"0.133333333333";"0.222222222222";"1.0";"1.0";"ipad";"NULL";139609;146
"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipod";"NULL";3596;NA
"52560";0;1996;2;"0.355555555556";"0.377777777778";"0.888888888889";"9.0";"iphone";"2263.0";54941;147
"NULL";0;0;1;"0.177777777778";"0.177777777778";"1.0";"3.0";"iphone";"NULL";128068;NA
"72271";0;12118;6;"0.555555555556";"0.555555555556";"0.625";"24.0";"ipad";"17179.2";161082;147
"13736";-1;1267;3;"0.155555555556";"0.155555555556";"0.285714285714";"7.0";"iphone";"13912.5";40550;147
"NULL";-1;0;2;"NULL";"NULL";"NULL";"NULL";"ipod";"69.0";35067;NA
"NULL";0;0;1;"0.155555555556";"0.155555555556";"1.0";"2.0";"ipad";"NULL";254440;NA
"NULL";0;0;1;"0.311111111111";"0.311111111111";"0.888888888889";"9.0";"ipad";"NULL";77567;NA
"12133";0;2090;4;"0.266666666667";"0.444444444444";"0.714285714286";"7.0";"ipad";"2485.33333333";19622;147
"NULL";0;0;2;"0.222222222222";"0.222222222222";"1.0";"3.0";"iphone";"0.0";116402;NA
"16089";0;4395;7;"0.333333333333";"0.333333333333";"0.6875";"16.0";"iphone";"13426.6666667";96917;147
"NULL";-1;0;1;"0.155555555556";"0.155555555556";"NULL";"NULL";"iphone";"NULL";68262;NA
"2607";-1;241;2;"0.155555555556";"0.155555555556";"1.0";"2.0";"ipad";"603.0";2849;147
"4896";0;9520;15;"0.533333333333";"0.622222222222";"0.355263157895";"76.0";"iphone";"17920.7857143";255890;147
"41686";-1;202;1;"0.133333333333";"0.133333333333";"0.5";"2.0";"iphone";"NULL";41889;147
"29675";1;3529;10;"0.333333333333";"0.333333333333";"0.466666666667";"15.0";"ipad";"10868.8888889";117433;147
"NULL";0;0;1;"0.177777777778";"0.177777777778";"0.75";"4.0";"ipad";"NULL";21880;NA
"28264";1;564;3;"0.2";"0.288888888889";"0.571428571429";"7.0";"iphone";"6015.0";40644;147
"176479";0;3296;6;"0.444444444444";"0.444444444444";"0.545454545455";"22.0";"ipad";"4159.0";197697;145
"NULL";0;0;1;"0.4";"0.4";"0.882352941176";"17.0";"ipod";"NULL";164474;NA
"200076";0;1892;3;"0.311111111111";"0.311111111111";"0.444444444444";"27.0";"ipod";"17602.0";235217;145
"NULL";-1;0;1;"0.133333333333";"0.133333333333";"1.0";"1.0";"ipad";"NULL";188527;NA
"78656";0;1665;4;"0.288888888889";"0.288888888889";"1.0";"8.0";"ipad";"28364.0";163730;147
"NULL";0;0;1;"0.222222222222";"0.222222222222";"0.666666666667";"3.0";"iphone";"NULL";85598;NA
"NULL";0;0;1;"0.2";"0.2";"1.0";"4.0";"ipad";"NULL";220598;NA
